activity_id,date,deal_id,owner,activity_type,outcome,duration_min
ACT-000001,2025-07-11,D-00211,Ana (AE),Call,Sent Proposal,51
ACT-000002,2025-01-19,D-00011,Eva (SDR),Email,Follow-up,0
ACT-000003,2025-07-20,D-00146,Ana (AE),Email,Follow-up,0
ACT-000004,2025-04-19,D-00369,Ana (AE),Demo,Connected,41
ACT-000005,2025-03-04,D-00179,Ana (AE),Demo,Follow-up,48
ACT-000006,2024-12-14,D-00252,Ana (AE),Call,Connected,38
ACT-000007,2025-01-17,D-00104,Eva (SDR),WhatsApp,Connected,0
ACT-000008,2025-06-17,D-00114,Eva (SDR),Demo,No Answer,35
ACT-000009,2024-12-19,D-00379,Bruno (AE),Meeting,Sent Proposal,60
ACT-000010,2025-07-23,D-00067,Carla (AE),Call,Sent Proposal,29
ACT-000011,2025-05-28,D-00197,Eva (SDR),Email,No Answer,0
ACT-000012,2024-12-23,D-00440,Bruno (AE),Demo,Demo Scheduled,29
ACT-000013,2025-06-15,D-00302,Diego (AE),Email,Connected,0
ACT-000014,2026-02-13,D-00287,Ana (AE),Call,Follow-up,67
ACT-000015,2024-12-17,D-00215,Ana (AE),WhatsApp,Demo Scheduled,0
ACT-000016,2025-08-04,D-00067,Carla (AE),Meeting,Demo Scheduled,70
ACT-000017,2025-12-31,D-00384,Eva (SDR),Meeting,Connected,52
ACT-000018,2025-01-25,D-00495,Bruno (AE),Email,Follow-up,0
ACT-000019,2025-08-16,D-00038,Diego (AE),Call,Connected,35
ACT-000020,2026-01-24,D-00406,Ana (AE),Email,Demo Scheduled,0
ACT-000021,2026-02-16,D-00161,Carla (AE),Email,Connected,0
ACT-000022,2026-01-28,D-00087,Ana (AE),Email,No Answer,0
ACT-000023,2025-03-27,D-00043,Carla (AE),Meeting,No Answer,62
ACT-000024,2025-04-02,D-00479,Eva (SDR),Email,Demo Scheduled,0
ACT-000025,2025-11-18,D-00325,Carla (AE),Email,Connected,0
ACT-000026,2025-12-07,D-00240,Diego (AE),Meeting,No Answer,15
ACT-000027,2025-09-13,D-00302,Diego (AE),Meeting,Follow-up,40
ACT-000028,2025-04-10,D-00234,Carla (AE),Call,No Answer,74
ACT-000029,2026-01-11,D-00206,Eva (SDR),Call,No Answer,43
ACT-000030,2025-07-18,D-00282,Bruno (AE),WhatsApp,Sent Proposal,0
ACT-000031,2025-08-19,D-00268,Ana (AE),WhatsApp,Connected,0
